stage	tool	sample	wallclock_sec	peak_rss_mb	exit_code	output_valid	key_metric	notes_placeholder
download_qc_pacbio	dedup_seqkit_exact	203_3	0.19		0	1	12/19 reads kept (7 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_seqkit_bothstrands	203_3	0.19		0	1	12/19 reads kept (7 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_awk_exact	203_3	0.18		0	1	12/19 reads kept (7 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_awk_bothstrands	203_3	0.25		0	1	12/19 reads kept (7 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	strip_hostN	211_0	1.04		0	1	30/30 reads kept a proviral core (43.9% of bases were host-N flank)	(see ease_of_use_notes.md)
download_qc_pacbio	orient_fwd	211_0	0.80		0	1	30 reads all forward (21 reverse-complemented, 0 untagged)	(see ease_of_use_notes.md)
download_qc_pacbio	nanofilt	211_0	NA	NA	NA	NA	not_applicable: FASTA input: NanoFilt requires FASTQ (rejects records not starting with '@')	(see ease_of_use_notes.md)
download_qc_pacbio	chopper	211_0	NA	NA	NA	NA	not_applicable: FASTA input: chopper requires FASTQ (fails to parse the record)	(see ease_of_use_notes.md)
download_qc_pacbio	fastp	211_0	NA	NA	NA	NA	not_applicable: FASTA input: fastp exits 0 but writes an empty file	(see ease_of_use_notes.md)
download_qc_pacbio	seqkit	211_0	0.24		0	1	30 reads passed (>=500bp; no quality filter, FASTA)	(see ease_of_use_notes.md)
download_qc_pacbio	kraken2_after_seqkit	211_0	203.73		0	1	30/30 reads retained after host removal	(see ease_of_use_notes.md)
download_qc_pacbio	awk	211_0	0.18		0	1	30 reads passed (>=500bp; no quality filter, FASTA)	(see ease_of_use_notes.md)
download_qc_pacbio	kraken2_after_awk	211_0	203.69		0	1	30/30 reads retained after host removal	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_fastp	211_0	NA	NA	NA	NA	not_applicable: FASTA input: fastp --dedup exits 0 but writes an empty file	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_seqkit_exact	211_0	0.20		0	1	25/30 reads kept (5 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_seqkit_bothstrands	211_0	0.19		0	1	25/30 reads kept (5 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_awk_exact	211_0	0.20		0	1	25/30 reads kept (5 duplicates removed)	(see ease_of_use_notes.md)
download_qc_pacbio	dedup_awk_bothstrands	211_0	0.46		0	1	25/30 reads kept (5 duplicates removed)	(see ease_of_use_notes.md)
