stage	tool	sample	wallclock_sec	peak_rss_mb	exit_code	output_valid	key_metric	notes_placeholder
subtyping_illumina	jphmm	SRR908437	628.94		0	1	see /etc/ace-data/home/jnagawa/Internship/results/subtyping/illumina/jphmm_out/SRR908437/posterior_recombination_path.txt	(see ease_of_use_notes.md)
subtyping_illumina	jphmm	SRR908434	628.47		0	1	see /etc/ace-data/home/jnagawa/Internship/results/subtyping/illumina/jphmm_out/SRR908434/posterior_recombination_path.txt	(see ease_of_use_notes.md)
subtyping_illumina	jphmm	SRR908441	627.75		0	1	see /etc/ace-data/home/jnagawa/Internship/results/subtyping/illumina/jphmm_out/SRR908441/posterior_recombination_path.txt	(see ease_of_use_notes.md)
subtyping_illumina	jphmm	SRR908446	624.23		0	1	see /etc/ace-data/home/jnagawa/Internship/results/subtyping/illumina/jphmm_out/SRR908446/posterior_recombination_path.txt	(see ease_of_use_notes.md)
subtyping_illumina	iqtree2	all_subset	1.03		0	1	tree written, 0 bootstrap refs	(see ease_of_use_notes.md)
