Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR908432_2	(12.0, 1.0)	(13.0, 5.0)	(14.0, 106.0)	(15.0, 890.0)	(16.0, 1687.0)	(17.0, 2983.0)	(18.0, 4413.0)	(19.0, 8157.0)	(20.0, 21692.0)	(21.0, 110168.0)	(22.0, 147242.0)	(23.0, 29052.0)	(24.0, 6283.0)	(25.0, 5702.0)	(26.0, 6221.0)	(27.0, 7116.0)	(28.0, 8371.0)	(29.0, 10236.0)	(30.0, 10530.0)	(31.0, 10243.0)	(32.0, 8622.0)	(33.0, 6637.0)	(34.0, 3006.0)	(35.0, 377.0)	(36.0, 13.0)	(37.0, 1.0)		
SRR908432_2_paired	(26.0, 5.0)	(27.0, 17.0)	(28.0, 55.0)	(29.0, 206.0)	(30.0, 509.0)	(31.0, 944.0)	(32.0, 1519.0)	(33.0, 2774.0)	(34.0, 6127.0)	(35.0, 13756.0)	(36.0, 18600.0)	(37.0, 25267.0)	(38.0, 7763.0)															
SRR908433_1	(15.0, 2.0)	(16.0, 3.0)	(17.0, 14.0)	(18.0, 137.0)	(19.0, 996.0)	(20.0, 4288.0)	(21.0, 17974.0)	(22.0, 91474.0)	(23.0, 76500.0)	(24.0, 16990.0)	(25.0, 7411.0)	(26.0, 4728.0)	(27.0, 3237.0)	(28.0, 2749.0)	(29.0, 2897.0)	(30.0, 2980.0)	(31.0, 3065.0)	(32.0, 3481.0)	(33.0, 4494.0)	(34.0, 5880.0)	(35.0, 5003.0)	(36.0, 1923.0)	(37.0, 84.0)					
SRR908433_1_paired	(28.0, 5.0)	(29.0, 17.0)	(30.0, 51.0)	(31.0, 159.0)	(32.0, 826.0)	(33.0, 727.0)	(34.0, 939.0)	(35.0, 1916.0)	(36.0, 7684.0)	(37.0, 11865.0)	(38.0, 8261.0)																	
SRR908433_2	(13.0, 1.0)	(14.0, 51.0)	(15.0, 461.0)	(16.0, 851.0)	(17.0, 1584.0)	(18.0, 2653.0)	(19.0, 5588.0)	(20.0, 15611.0)	(21.0, 74520.0)	(22.0, 100268.0)	(23.0, 18856.0)	(24.0, 3058.0)	(25.0, 2087.0)	(26.0, 2244.0)	(27.0, 2627.0)	(28.0, 3452.0)	(29.0, 4031.0)	(30.0, 4718.0)	(31.0, 4712.0)	(32.0, 3878.0)	(33.0, 3174.0)	(34.0, 1655.0)	(35.0, 225.0)	(36.0, 5.0)				
SRR908433_2_paired	(26.0, 4.0)	(27.0, 5.0)	(28.0, 30.0)	(29.0, 113.0)	(30.0, 218.0)	(31.0, 412.0)	(32.0, 670.0)	(33.0, 1241.0)	(34.0, 2973.0)	(35.0, 6233.0)	(36.0, 7823.0)	(37.0, 9805.0)	(38.0, 2923.0)															
SRR908434_1	(15.0, 2.0)	(16.0, 1.0)	(17.0, 11.0)	(18.0, 78.0)	(19.0, 471.0)	(20.0, 2049.0)	(21.0, 9079.0)	(22.0, 55489.0)	(23.0, 63022.0)	(24.0, 14245.0)	(25.0, 5764.0)	(26.0, 3485.0)	(27.0, 2432.0)	(28.0, 1968.0)	(29.0, 2102.0)	(30.0, 2156.0)	(31.0, 2211.0)	(32.0, 2248.0)	(33.0, 2732.0)	(34.0, 3660.0)	(35.0, 3436.0)	(36.0, 1087.0)	(37.0, 32.0)					
SRR908434_1_paired	(28.0, 4.0)	(29.0, 13.0)	(30.0, 39.0)	(31.0, 134.0)	(32.0, 944.0)	(33.0, 766.0)	(34.0, 679.0)	(35.0, 1253.0)	(36.0, 5603.0)	(37.0, 7581.0)	(38.0, 4904.0)																	
SRR908434_2	(13.0, 3.0)	(14.0, 42.0)	(15.0, 407.0)	(16.0, 595.0)	(17.0, 984.0)	(18.0, 1463.0)	(19.0, 2086.0)	(20.0, 5650.0)	(21.0, 38781.0)	(22.0, 82506.0)	(23.0, 20548.0)	(24.0, 2812.0)	(25.0, 1577.0)	(26.0, 1594.0)	(27.0, 1828.0)	(28.0, 2237.0)	(29.0, 2734.0)	(30.0, 3169.0)	(31.0, 3357.0)	(32.0, 2608.0)	(33.0, 1753.0)	(34.0, 867.0)	(35.0, 155.0)	(36.0, 4.0)				
SRR908434_2_paired	(27.0, 3.0)	(28.0, 18.0)	(29.0, 49.0)	(30.0, 116.0)	(31.0, 253.0)	(32.0, 464.0)	(33.0, 887.0)	(34.0, 2040.0)	(35.0, 4817.0)	(36.0, 5302.0)	(37.0, 5854.0)	(38.0, 2117.0)																
