name	strand_tag	action
m64152e_230610_114619/2622383/ccs/1	1	revcomp
m64152e_230610_114619/30149189/ccs/0	0	kept
m64152e_230610_114619/30870061/ccs/1	1	revcomp
m64152e_230610_114619/35980103/ccs/0	0	kept
m64152e_230610_114619/54724703/ccs/1	1	revcomp
m64152e_230610_114619/91882661/ccs/0	0	kept
m64152e_230610_114619/101778303/ccs/1	1	revcomp
m64152e_230610_114619/113445523/ccs/0	0	kept
m64152e_230610_114619/114098377/ccs/fwd/1	1	revcomp
m64152e_230610_114619/114098377/ccs/rev/0	0	kept
m64152e_230610_114619/116983891/ccs/0	0	kept
m64152e_230610_114619/139722843/ccs/fwd/1	1	revcomp
m64152e_230610_114619/139722843/ccs/rev/0	0	kept
m64152e_230610_114619/140380282/ccs/1	1	revcomp
m64152e_230610_114619/148506052/ccs/0	0	kept
m64152e_230610_114619/150603120/ccs/1	1	revcomp
m64152e_230610_114619/159187977/ccs/0	0	kept
m64152e_230610_114619/165479001/ccs/1	1	revcomp
m64152e_230610_114619/168692048/ccs/1	1	revcomp
