name	strand_tag	action
m64152e_220623_034507/3344018/ccs/0	0	kept
m64152e_220623_034507/12845118/ccs/1	1	revcomp
m64152e_220623_034507/17040771/ccs/1	1	revcomp
m64152e_220623_034507/28182082/ccs/0	0	kept
m64152e_220623_034507/30408988/ccs/0	0	kept
m64152e_220623_034507/31721138/ccs/1	1	revcomp
m64152e_220623_034507/33884675/ccs/0	0	kept
m64152e_220623_034507/36766862/ccs/1	1	revcomp
m64152e_220623_034507/51184521/ccs/1	1	revcomp
m64152e_220623_034507/51512999/ccs/1	1	revcomp
m64152e_220623_034507/52364717/ccs/0	0	kept
m64152e_220623_034507/60032138/ccs/1	1	revcomp
m64152e_220623_034507/64684679/ccs/1	1	revcomp
m64152e_220623_034507/65995018/ccs/0	0	kept
m64152e_220623_034507/67240144/ccs/0	0	kept
m64152e_220623_034507/69731306/ccs/0	0	kept
m64152e_220623_034507/72222313/ccs/1	1	revcomp
m64152e_220623_034507/75695349/ccs/0	0	kept
m64152e_220623_034507/75826897/ccs/1	1	revcomp
m64152e_220623_034507/76940301/ccs/1	1	revcomp
m64152e_220623_034507/78578466/ccs/1	1	revcomp
m64152e_220623_034507/80806444/ccs/1	1	revcomp
m64152e_220623_034507/81724008/ccs/1	1	revcomp
m64152e_220623_034507/81985874/ccs/1	1	revcomp
m64152e_220623_034507/90178173/ccs/0	0	kept
m64152e_220623_034507/91686386/ccs/1	1	revcomp
m64152e_220623_034507/93129110/ccs/1	1	revcomp
m64152e_220623_034507/101713347/ccs/1	1	revcomp
m64152e_220623_034507/102697474/ccs/0	0	kept
m64152e_220623_034507/108529031/ccs/0	0	kept
m64152e_220623_034507/108724964/ccs/0	0	kept
m64152e_220623_034507/114491853/ccs/1	1	revcomp
m64152e_220623_034507/121177007/ccs/0	0	kept
m64152e_220623_034507/122620666/ccs/1	1	revcomp
m64152e_220623_034507/128190803/ccs/1	1	revcomp
m64152e_220623_034507/130417319/ccs/1	1	revcomp
m64152e_220623_034507/140643142/ccs/1	1	revcomp
m64152e_220623_034507/142609194/ccs/0	0	kept
m64152e_220623_034507/145818197/ccs/0	0	kept
m64152e_220623_034507/154404146/ccs/1	1	revcomp
m64152e_220623_034507/154927900/ccs/1	1	revcomp
