stage	tool	sample	wallclock_sec	peak_rss_mb	exit_code	output_valid	key_metric	notes_placeholder
biological_filtering_pacbio	poplars	all_subset	21.49		0	1	5102 result rows	(see ease_of_use_notes.md)
biological_filtering_pacbio	hivseqinr	all_subset	24.38		1	0	Error in .charToXString(seqtype, x, start, end, width) : input must be a single non-NA string Calls: DNAStringSet ... .oneSeqToXStringSet -> XString -> XString 	(see ease_of_use_notes.md)
biological_filtering_pacbio	hivintact	all_subset	387.59		0	1	1 intact, 4 non-intact	(see ease_of_use_notes.md)
