stage	tool	sample	wallclock_sec	peak_rss_mb	exit_code	output_valid	key_metric	notes_placeholder
subtyping_pacbio	jphmm	124_4	652.42		0	1	see /etc/ace-data/home/jnagawa/Internship/results/subtyping/pacbio/jphmm_out/124_4/posterior_recombination_path.txt	(see ease_of_use_notes.md)
subtyping_pacbio	jphmm	128_5	637.86		0	1	see /etc/ace-data/home/jnagawa/Internship/results/subtyping/pacbio/jphmm_out/128_5/posterior_recombination_path.txt	(see ease_of_use_notes.md)
subtyping_pacbio	jphmm	203_3	623.69		0	1	see /etc/ace-data/home/jnagawa/Internship/results/subtyping/pacbio/jphmm_out/203_3/posterior_recombination_path.txt	(see ease_of_use_notes.md)
subtyping_pacbio	jphmm	211_0	629.86		0	1	see /etc/ace-data/home/jnagawa/Internship/results/subtyping/pacbio/jphmm_out/211_0/posterior_recombination_path.txt	(see ease_of_use_notes.md)
subtyping_pacbio	iqtree2	all_subset	2.19		0	1	tree written, 0 bootstrap refs	(see ease_of_use_notes.md)
