Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR908435_1	(15.0, 2.0)	(16.0, 4.0)	(17.0, 14.0)	(18.0, 120.0)	(19.0, 517.0)	(20.0, 1732.0)	(21.0, 7497.0)	(22.0, 41402.0)	(23.0, 37532.0)	(24.0, 10135.0)	(25.0, 6011.0)	(26.0, 5796.0)	(27.0, 6204.0)	(28.0, 7258.0)	(29.0, 8349.0)	(30.0, 9561.0)	(31.0, 10445.0)	(32.0, 12022.0)	(33.0, 15704.0)	(34.0, 23827.0)	(35.0, 25746.0)	(36.0, 11317.0)	(37.0, 622.0)	(38.0, 1.0)				
SRR908435_2	(14.0, 157.0)	(15.0, 1079.0)	(16.0, 1826.0)	(17.0, 2824.0)	(18.0, 3180.0)	(19.0, 3176.0)	(20.0, 5682.0)	(21.0, 31186.0)	(22.0, 48021.0)	(23.0, 11990.0)	(24.0, 5329.0)	(25.0, 6041.0)	(26.0, 7574.0)	(27.0, 9296.0)	(28.0, 11701.0)	(29.0, 14143.0)	(30.0, 16906.0)	(31.0, 18311.0)	(32.0, 17419.0)	(33.0, 15736.0)	(34.0, 8817.0)	(35.0, 1387.0)	(36.0, 37.0)					
SRR908436_1	(16.0, 2.0)	(17.0, 19.0)	(18.0, 108.0)	(19.0, 645.0)	(20.0, 3021.0)	(21.0, 13037.0)	(22.0, 76589.0)	(23.0, 72952.0)	(24.0, 16371.0)	(25.0, 6964.0)	(26.0, 4513.0)	(27.0, 3409.0)	(28.0, 3179.0)	(29.0, 3282.0)	(30.0, 3774.0)	(31.0, 3974.0)	(32.0, 4434.0)	(33.0, 6032.0)	(34.0, 9465.0)	(35.0, 9310.0)	(36.0, 3192.0)	(37.0, 96.0)						
SRR908436_2	(13.0, 2.0)	(14.0, 81.0)	(15.0, 492.0)	(16.0, 968.0)	(17.0, 1584.0)	(18.0, 2241.0)	(19.0, 3081.0)	(20.0, 8230.0)	(21.0, 50506.0)	(22.0, 102205.0)	(23.0, 24300.0)	(24.0, 3596.0)	(25.0, 2421.0)	(26.0, 2857.0)	(27.0, 3510.0)	(28.0, 4866.0)	(29.0, 6298.0)	(30.0, 7361.0)	(31.0, 7216.0)	(32.0, 5837.0)	(33.0, 4201.0)	(34.0, 2200.0)	(35.0, 303.0)	(36.0, 12.0)				
SRR908437_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 4.0)	(18.0, 32.0)	(19.0, 157.0)	(20.0, 934.0)	(21.0, 4077.0)	(22.0, 23432.0)	(23.0, 20136.0)	(24.0, 4286.0)	(25.0, 1780.0)	(26.0, 1102.0)	(27.0, 702.0)	(28.0, 619.0)	(29.0, 593.0)	(30.0, 776.0)	(31.0, 798.0)	(32.0, 806.0)	(33.0, 1109.0)	(34.0, 1709.0)	(35.0, 1951.0)	(36.0, 835.0)	(37.0, 33.0)				
SRR908437_2	(13.0, 1.0)	(14.0, 28.0)	(15.0, 201.0)	(16.0, 331.0)	(17.0, 454.0)	(18.0, 543.0)	(19.0, 806.0)	(20.0, 2238.0)	(21.0, 14301.0)	(22.0, 29779.0)	(23.0, 7239.0)	(24.0, 904.0)	(25.0, 402.0)	(26.0, 424.0)	(27.0, 497.0)	(28.0, 680.0)	(29.0, 948.0)	(30.0, 1328.0)	(31.0, 1410.0)	(32.0, 1329.0)	(33.0, 1196.0)	(34.0, 708.0)	(35.0, 118.0)	(36.0, 8.0)				
SRR908438_1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 35.0)	(18.0, 266.0)	(19.0, 1442.0)	(20.0, 6618.0)	(21.0, 31649.0)	(22.0, 180556.0)	(23.0, 159409.0)	(24.0, 40029.0)	(25.0, 17270.0)	(26.0, 11329.0)	(27.0, 8689.0)	(28.0, 8069.0)	(29.0, 8566.0)	(30.0, 8996.0)	(31.0, 8982.0)	(32.0, 9886.0)	(33.0, 12270.0)	(34.0, 17145.0)	(35.0, 14580.0)	(36.0, 5054.0)	(37.0, 197.0)					
SRR908438_2	(13.0, 2.0)	(14.0, 71.0)	(15.0, 628.0)	(16.0, 1198.0)	(17.0, 1999.0)	(18.0, 3481.0)	(19.0, 6697.0)	(20.0, 19329.0)	(21.0, 119543.0)	(22.0, 229877.0)	(23.0, 63273.0)	(24.0, 9522.0)	(25.0, 5837.0)	(26.0, 6671.0)	(27.0, 7997.0)	(28.0, 9720.0)	(29.0, 10852.0)	(30.0, 12196.0)	(31.0, 13461.0)	(32.0, 12727.0)	(33.0, 10291.0)	(34.0, 4976.0)	(35.0, 677.0)	(36.0, 15.0)				
SRR908439_1	(15.0, 4.0)	(16.0, 4.0)	(17.0, 16.0)	(18.0, 142.0)	(19.0, 854.0)	(20.0, 4372.0)	(21.0, 19635.0)	(22.0, 114494.0)	(23.0, 116844.0)	(24.0, 25627.0)	(25.0, 10535.0)	(26.0, 5887.0)	(27.0, 3897.0)	(28.0, 3154.0)	(29.0, 3234.0)	(30.0, 3863.0)	(31.0, 4277.0)	(32.0, 4351.0)	(33.0, 5227.0)	(34.0, 8028.0)	(35.0, 8099.0)	(36.0, 3029.0)	(37.0, 142.0)					
SRR908439_2	(11.0, 1.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 51.0)	(15.0, 556.0)	(16.0, 931.0)	(17.0, 1477.0)	(18.0, 2169.0)	(19.0, 3787.0)	(20.0, 10758.0)	(21.0, 73831.0)	(22.0, 161681.0)	(23.0, 42366.0)	(24.0, 5360.0)	(25.0, 2456.0)	(26.0, 2361.0)	(27.0, 2823.0)	(28.0, 3638.0)	(29.0, 4661.0)	(30.0, 5866.0)	(31.0, 6521.0)	(32.0, 6388.0)	(33.0, 5039.0)	(34.0, 2587.0)	(35.0, 396.0)	(36.0, 9.0)		
