Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR908443_1	SRR908443_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	364491.0	91.4 Mbp	0.0	251.0	44.0	51.86843927972019	251.0	251	pass	fail	pass	fail	fail	pass	pass	warn	fail	fail
SRR908443_2	SRR908443_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	364491.0	91.4 Mbp	0.0	251.0	48.0	54.45803527603223	251.0	251	pass	fail	warn	fail	fail	pass	pass	warn	fail	fail
SRR908444_1	SRR908444_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	467503.0	117.3 Mbp	0.0	251.0	46.0	86.57288217291004	251.0	251	pass	fail	pass	fail	warn	pass	pass	pass	fail	fail
SRR908444_2	SRR908444_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	467503.0	117.3 Mbp	0.0	251.0	51.0	88.0221298396631	251.0	251	pass	fail	pass	fail	warn	pass	pass	pass	fail	fail
SRR908445_1	SRR908445_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136365.0	34.2 Mbp	0.0	251.0	44.0	31.115022183111503	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908445_2	SRR908445_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136365.0	34.2 Mbp	0.0	251.0	49.0	32.55967440325597	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908446_1	SRR908446_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1460063.0	366.4 Mbp	0.0	251.0	42.0	23.04454864491963	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908446_2	SRR908446_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1460063.0	366.4 Mbp	0.0	251.0	47.0	27.410099028959472	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908447_1	SRR908447_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	571621.0	143.4 Mbp	0.0	251.0	44.0	67.91112030827263	251.0	251	pass	fail	pass	fail	fail	pass	pass	warn	fail	fail
SRR908447_2	SRR908447_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	571621.0	143.4 Mbp	0.0	251.0	49.0	70.79730436754198	251.0	251	pass	fail	pass	fail	fail	pass	pass	pass	fail	fail
SRR908448_1	SRR908448_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	390114.0	97.9 Mbp	0.0	251.0	44.0	60.85424906456483	251.0	251	pass	fail	pass	fail	fail	pass	pass	warn	fail	fail
SRR908448_2	SRR908448_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	390114.0	97.9 Mbp	0.0	251.0	48.0	62.95909595304766	251.0	251	pass	fail	warn	fail	fail	pass	pass	warn	fail	fail
SRR908449_1	SRR908449_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	900839.0	226.1 Mbp	0.0	251.0	38.0	13.150255466497912	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908449_2	SRR908449_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	900839.0	226.1 Mbp	0.0	251.0	42.0	15.43674187338437	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908450_1	SRR908450_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206083.0	51.7 Mbp	0.0	251.0	40.0	33.57336607095199	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908450_2	SRR908450_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206083.0	51.7 Mbp	0.0	251.0	44.0	34.94465822023166	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908451_1	SRR908451_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	566278.0	142.1 Mbp	0.0	251.0	45.0	15.795245444816858	251.0	251	pass	fail	warn	fail	warn	pass	pass	fail	fail	fail
SRR908451_2	SRR908451_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	566278.0	142.1 Mbp	0.0	251.0	51.0	16.447222035819863	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908452_1	SRR908452_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	348692.0	87.5 Mbp	0.0	251.0	46.0	37.716891293722085	251.0	251	pass	fail	pass	fail	warn	pass	pass	fail	fail	fail
SRR908452_2	SRR908452_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	348692.0	87.5 Mbp	0.0	251.0	50.0	41.126370045310615	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
SRR908453_1	SRR908453_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	223746.0	56.1 Mbp	0.0	251.0	45.0	32.95165053230002	251.0	251	pass	fail	warn	fail	warn	pass	pass	fail	fail	fail
SRR908453_2	SRR908453_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	223746.0	56.1 Mbp	0.0	251.0	50.0	36.070812439105055	251.0	251	pass	fail	warn	fail	fail	pass	pass	fail	fail	fail
