Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR908436_1	(1.0, 14.66435867216657)	(2.0, 4.247692005499902)	(3.0, 1.7997446474170102)	(4.0, 1.21292476920055)	(5.0, 0.8920971649315786)	(6.0, 0.7685130622667452)	(7.0, 0.6301970798140509)	(8.0, 0.6383814574739737)	(9.0, 0.43459045374189753)	('>10', 11.043589995416749)	('>50', 4.973646303935049)	('>100', 17.818208603417794)	('>500', 4.119197276239115)	('>1k', 11.760132259542983)	('>5k', 2.605087409153408)	('>10k+', 22.391638839782622)
SRR908436_2	(1.0, 15.026926602501145)	(2.0, 3.6346821187716887)	(3.0, 1.5247495580436063)	(4.0, 1.006678452170497)	(5.0, 0.7509166502979113)	(6.0, 0.6531133372618346)	(7.0, 0.5385320500229163)	(8.0, 0.42231388725201335)	(9.0, 0.3867118444313494)	('>10', 9.45336541609376)	('>50', 4.584069927322727)	('>100', 16.38348719963334)	('>500', 7.071302298173247)	('>1k', 9.929286977018267)	('>5k', 2.748314018202056)	('>10k+', 25.88554966280364)
SRR908437_1	(1.0, 18.21990800479711)	(2.0, 3.986458791917781)	(3.0, 2.2998800722602586)	(4.0, 1.8581209296676937)	(5.0, 1.4042172058354712)	(6.0, 1.247855722374873)	(7.0, 1.1901689614864968)	(8.0, 1.3723376800813687)	(9.0, 0.9563857726230777)	('>10', 16.11434123237138)	('>50', 8.93537564707847)	('>100', 20.354318157667027)	('>500', 2.5503620603282076)	('>1k', 6.8723149089915445)	('>5k', 12.637954852519243)	('>10k+', 0.0)
SRR908437_2	(1.0, 17.594462070954716)	(2.0, 3.3610128580753873)	(3.0, 1.8171329679838477)	(4.0, 1.6030847236348733)	(5.0, 1.2296388505153857)	(6.0, 1.2023135427261549)	(7.0, 0.86074719536077)	(8.0, 0.8622652680157272)	(9.0, 0.9290604648338469)	('>10', 14.395882986959757)	('>50', 9.692893901902146)	('>100', 20.50157120519788)	('>500', 2.6854705266194037)	('>1k', 9.585110743400179)	('>5k', 13.679352693819927)	('>10k+', 0.0)
SRR908438_1	(1.0, 11.21914924506388)	(2.0, 5.647502903600465)	(3.0, 3.667247386759582)	(4.0, 2.217624854819977)	(5.0, 1.479021486643438)	(6.0, 1.0376742160278747)	(7.0, 0.8066565040650406)	(8.0, 0.6141114982578397)	(9.0, 0.5406141114982579)	('>10', 8.379972415795587)	('>50', 4.463741289198606)	('>100', 13.686846689895471)	('>500', 8.228259291521486)	('>1k', 11.614583333333334)	('>5k', 7.666412601626016)	('>10k+', 18.730582171893147)
SRR908438_2	(1.0, 12.139590592334496)	(2.0, 5.090737514518002)	(3.0, 3.0825348432055746)	(4.0, 1.80821718931475)	(5.0, 1.1532738095238095)	(6.0, 0.7719947735191638)	(7.0, 0.588160569105691)	(8.0, 0.5342624854819977)	(9.0, 0.39198606271777003)	('>10', 6.838160569105691)	('>50', 4.159770615563298)	('>100', 13.19359756097561)	('>500', 7.317799070847851)	('>1k', 14.852097851335655)	('>5k', 7.249745934959349)	('>10k+', 20.82807055749129)
SRR908439_1	(1.0, 13.556542238549094)	(2.0, 3.8320581982268633)	(3.0, 1.7121039006117758)	(4.0, 1.0656176330214195)	(5.0, 0.8229321840244133)	(6.0, 0.7063621769376509)	(7.0, 0.6398333887739902)	(8.0, 0.5970235598686779)	(9.0, 0.4790072747783579)	('>10', 11.37439798678102)	('>50', 6.557424468131264)	('>100', 19.831942495986578)	('>500', 9.04589040105289)	('>1k', 15.078315953892657)	('>5k', 2.0777229799111985)	('>10k+', 12.62282515945215)
SRR908439_2	(1.0, 13.02084086603127)	(2.0, 3.0591672331255513)	(3.0, 1.293840301982847)	(4.0, 0.8353701748550107)	(5.0, 0.7188001677682484)	(6.0, 0.5675194885960979)	(7.0, 0.5082220904502264)	(8.0, 0.4651230059442026)	(9.0, 0.43214786746308376)	('>10', 9.452873031254068)	('>50', 5.728128660891196)	('>100', 19.062522598093807)	('>500', 10.154896374181046)	('>1k', 13.814847489984524)	('>5k', 3.7802814456994924)	('>10k+', 17.105419203679332)
SRR908440_1	(1.0, 25.96245772381961)	(2.0, 9.514068073645362)	(3.0, 3.4432599689546346)	(4.0, 1.3857335238545596)	(5.0, 0.7298744821489149)	(6.0, 0.5181080831028918)	(7.0, 0.38498308952784316)	(8.0, 0.28783782394605095)	(9.0, 0.3053136918284898)	('>10', 5.660639205567606)	('>50', 3.1292083431849256)	('>100', 6.465043124273981)	('>500', 3.0079052602362326)	('>1k', 2.334570350648149)	('>5k', 0.0)	('>10k+', 36.870997255260754)
SRR908440_2	(1.0, 29.43090350236952)	(2.0, 8.603266959301788)	(3.0, 2.983747442869332)	(4.0, 1.2459265807950493)	(5.0, 0.6476351038786147)	(6.0, 0.37624515558662375)	(7.0, 0.41016889912312265)	(8.0, 0.33306948199471614)	(9.0, 0.22204632132981073)	('>10', 5.037161919055892)	('>50', 2.940057773163235)	('>100', 6.823812411978166)	('>500', 2.8583323910071243)	('>1k', 1.2628884525632986)	('>5k', 0.0)	('>10k+', 36.8247376049837)
