stage	tool	sample	wallclock_sec	peak_rss_mb	exit_code	output_valid	key_metric	notes_placeholder
proviral_extraction_pacbio	minimap2mask+strip	124_4	1.19		0	1	40/40 reads yielded a proviral core; median core 754bp	(see ease_of_use_notes.md)
proviral_extraction_pacbio	minimap2mask+strip	128_5	0.84		0	1	75/75 reads yielded a proviral core; median core 5469bp	(see ease_of_use_notes.md)
proviral_extraction_pacbio	minimap2mask+strip	203_3	1.27		0	1	19/19 reads yielded a proviral core; median core 1101bp	(see ease_of_use_notes.md)
proviral_extraction_pacbio	minimap2mask+strip	211_0	1.10		0	1	30/30 reads yielded a proviral core; median core 5097bp	(see ease_of_use_notes.md)
